hour_real,minute_real,hour_calculated,minute_calculated
,,,
06,55,2.0,10.609648079019921
06,41,2.0,10.609648079019921
06,40,2.0,10.609648079019921
06,54,2.0,10.609648079019921
06,42,2.0,10.609648079019921
06,56,2.0,10.609648079019921
06,57,2.0,10.609648079019921
06,43,2.0,10.609648079019921
06,47,2.0,10.609648079019921
06,53,2.0,10.609648079019921
06,52,2.0,10.609648079019921
06,46,2.0,10.609648079019921
06,50,2.0,10.609648079019921
06,44,2.0,10.609648079019921
06,45,2.0,10.609648079019921
06,51,2.0,10.609648079019921
06,36,2.0,10.609648079019921
06,22,2.0,10.609648079019921
06,23,2.0,10.609648079019921
06,37,2.0,10.609648079019921
